m, None
1.063000000000000029e-06,8.288752400000000131e-01
1.063499999999999855e-06,8.301674100000000500e-01
1.064000000000000104e-06,8.300424199999999475e-01
1.064499999999999930e-06,8.274961100000000069e-01
1.064999999999999968e-06,8.256394299999999520e-01
1.065499999999999793e-06,8.271802700000000508e-01
1.066000000000000043e-06,8.291577100000000478e-01
1.066500000000000080e-06,8.289281699999999642e-01
1.066999999999999906e-06,8.268937499999999829e-01
1.067499999999999944e-06,8.256745899999999860e-01
1.067999999999999981e-06,8.270981299999999869e-01
1.068500000000000019e-06,8.292504000000000541e-01
1.068999999999999845e-06,8.273819100000000537e-01
1.069499999999999882e-06,8.229127499999999706e-01
1.070000000000000132e-06,8.242675099999999810e-01
1.070499999999999957e-06,8.306006799999999801e-01
1.070999999999999995e-06,8.348906600000000067e-01
1.071499999999999821e-06,8.334601499999999552e-01
1.072000000000000070e-06,8.267459299999999622e-01
1.072500000000000108e-06,8.233844000000000163e-01
1.072999999999999933e-06,8.303255400000000286e-01
1.073499999999999971e-06,8.384613400000000549e-01
1.074000000000000009e-06,8.316012600000000088e-01
1.074500000000000046e-06,8.148929499999999493e-01
1.074999999999999872e-06,8.159560599999999830e-01
1.075499999999999910e-06,8.337946499999999705e-01
1.076000000000000159e-06,8.412161500000000514e-01
1.076499999999999985e-06,8.371314399999999489e-01
1.077000000000000022e-06,8.148723799999999517e-01
1.077499999999999848e-06,7.946248700000000387e-01
1.078000000000000097e-06,8.123530700000000104e-01
1.078499999999999923e-06,8.346767999999999965e-01
1.078999999999999961e-06,8.390200100000000383e-01
1.079499999999999998e-06,8.284269600000000455e-01
1.080000000000000036e-06,8.088971999999999829e-01
1.080500000000000073e-06,8.030445600000000184e-01
1.080999999999999899e-06,8.049787299999999757e-01
1.081499999999999937e-06,8.099066000000000320e-01
1.081999999999999974e-06,8.284835799999999972e-01
1.082500000000000012e-06,8.429096900000000447e-01
1.083000000000000049e-06,8.196671599999999502e-01
