m, W/sr m3
9.679999999999998800e-07,4.350324800000002608e+06
9.685000000000001293e-07,4.432311275000000373e+06
9.689999999999999551e-07,4.468080375000000000e+06
9.694999999999999927e-07,4.463550812500000000e+06
9.700000000000000302e-07,4.479681000000000000e+06
9.705000000000000678e-07,4.506652062500000000e+06
9.709999999999998936e-07,4.547550375000000000e+06
9.714999999999999312e-07,4.519733612499999814e+06
9.719999999999999687e-07,4.462435200000000186e+06
9.725000000000000063e-07,4.371288500000000931e+06
9.730000000000000438e-07,4.249533949999999255e+06
9.735000000000000814e-07,4.126753962499999907e+06
9.739999999999999072e-07,4.016715350000001024e+06
9.744999999999999448e-07,4.006832637500000186e+06
9.749999999999999823e-07,4.013997500000000000e+06
9.755000000000000199e-07,3.999317750000000000e+06
9.760000000000000575e-07,4.009740200000000186e+06
9.765000000000000950e-07,4.060488887500000186e+06
9.769999999999999208e-07,4.205322474999998696e+06
9.774999999999999584e-07,4.279915187500000000e+06
9.779999999999999960e-07,4.302624349999999627e+06
9.785000000000000335e-07,4.233702262500000186e+06
9.790000000000000711e-07,4.186530299999999814e+06
9.795000000000001087e-07,4.169474437500000000e+06
9.799999999999999345e-07,4.234310000000000000e+06
9.804999999999999720e-07,4.336234675000000745e+06
9.810000000000000096e-07,4.440702650000000373e+06
9.815000000000000472e-07,4.485627974999999627e+06
9.820000000000000847e-07,4.481950399999999441e+06
9.825000000000001223e-07,4.462114875000000000e+06
9.829999999999999481e-07,4.481251450000000186e+06
9.834999999999999857e-07,4.518275474999999627e+06
9.840000000000000232e-07,4.557575299999999814e+06
9.845000000000000608e-07,4.549752712500000373e+06
9.849999999999998866e-07,4.566940000000000000e+06
9.855000000000001359e-07,4.603874425000000745e+06
9.859999999999999617e-07,4.677974099999999627e+06
9.864999999999999993e-07,4.704507924999999814e+06
9.870000000000000369e-07,4.697737299999999814e+06
9.875000000000000744e-07,4.675281250000000000e+06
9.879999999999999002e-07,4.684543799999999814e+06
9.885000000000001496e-07,4.715492037499999627e+06
9.889999999999999754e-07,4.719532275000000373e+06
9.895000000000000129e-07,4.703697212500000373e+06
9.900000000000000505e-07,4.672868250000000000e+06
9.905000000000000881e-07,4.674144462500000373e+06
9.909999999999999139e-07,4.682933625000000000e+06
9.914999999999999514e-07,4.698075912499999627e+06
9.919999999999999890e-07,4.681141299999999814e+06
9.925000000000000266e-07,4.659463187500000000e+06
9.930000000000000641e-07,4.633059474999999627e+06
9.935000000000001017e-07,4.644965512500000186e+06
9.939999999999999275e-07,4.660870549999999814e+06
9.944999999999999651e-07,4.680688212500000373e+06
9.950000000000000026e-07,4.673291000000000000e+06
9.955000000000000402e-07,4.659636837500000373e+06
9.960000000000000777e-07,4.639620799999999814e+06
9.965000000000001153e-07,4.629178224999999627e+06
9.969999999999999411e-07,4.620956650000000373e+06
9.974999999999999787e-07,4.614886375000000000e+06
9.980000000000000162e-07,4.586600500000000931e+06
9.985000000000000538e-07,4.552497662499999627e+06
9.990000000000000914e-07,4.512829274999999441e+06
9.995000000000001289e-07,4.506543012500000186e+06
9.999999999999999547e-07,4.514375000000000000e+06
1.000499999999999992e-06,4.538669325000000186e+06
1.000999999999999818e-06,4.529529650000000373e+06
1.001500000000000067e-06,4.507869562499999069e+06
1.002000000000000105e-06,4.472790249999999069e+06
1.002499999999999931e-06,4.470507437500000000e+06
1.002999999999999968e-06,4.473695500000000000e+06
1.003500000000000006e-06,4.475414750000000000e+06
1.004000000000000044e-06,4.418473800000000745e+06
1.004499999999999869e-06,4.346095387500001118e+06
1.004999999999999907e-06,4.268537374999999069e+06
1.005500000000000156e-06,4.272967187500000000e+06
1.005999999999999982e-06,4.310615100000000559e+06
1.006500000000000020e-06,4.378366774999999441e+06
1.006999999999999845e-06,4.406132524999999441e+06
1.007500000000000095e-06,4.413849687500000000e+06
1.007999999999999921e-06,4.398409500000000000e+06
1.008499999999999958e-06,4.377526262500000186e+06
1.008999999999999996e-06,4.356023650000000373e+06
1.009500000000000033e-06,4.338738575000000186e+06
1.010000000000000071e-06,4.339256500000000000e+06
1.010499999999999897e-06,4.346662424999999814e+06
1.010999999999999934e-06,4.353711350000000559e+06
1.011499999999999972e-06,4.344121412499999627e+06
1.012000000000000009e-06,4.327915200000000186e+06
1.012500000000000047e-06,4.314994375000000000e+06
1.012999999999999873e-06,4.313410400000000373e+06
1.013500000000000122e-06,4.316390187500000000e+06
1.013999999999999948e-06,4.313778250000000000e+06
1.014499999999999985e-06,4.304252537499999627e+06
1.014999999999999811e-06,4.291713125000000000e+06
1.015500000000000060e-06,4.284406312500000000e+06
1.016000000000000098e-06,4.278780500000000000e+06
1.016499999999999924e-06,4.273557812500000000e+06
1.016999999999999961e-06,4.263143125000000000e+06
1.017499999999999999e-06,4.254449125000000000e+06
1.018000000000000037e-06,4.246364750000000000e+06
1.018499999999999862e-06,4.232114812500000000e+06
1.018999999999999900e-06,4.215452650000000373e+06
1.019500000000000149e-06,4.198021250000000000e+06
1.019999999999999975e-06,4.197360000000000000e+06
1.020500000000000013e-06,4.194195287500000093e+06
1.020999999999999838e-06,4.188501799999999814e+06
1.021500000000000088e-06,4.170039699999999721e+06
1.022000000000000125e-06,4.155386399999999907e+06
1.022499999999999951e-06,4.144188812500000000e+06
1.022999999999999989e-06,4.129251175000000279e+06
1.023500000000000026e-06,4.115865237499999814e+06
1.024000000000000064e-06,4.104048699999999721e+06
1.024499999999999890e-06,4.110369475000000093e+06
1.024999999999999927e-06,4.113668750000000000e+06
1.025500000000000176e-06,4.113285225000000093e+06
1.026000000000000002e-06,4.102709950000000186e+06
1.026500000000000040e-06,4.091295649999999907e+06
